,column,ontologies
722,Youth Self-Report: Performance in academic subjects: History or social studies,"['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.obolibrary.org/obo/NCIT_C60778', 'http://semanticscience.org/resource/SIO_000406', 'http://purl.bioontology.org/ontology/LNC/LP7800-8', 'http://purl.bioontology.org/ontology/MESH/D006664', 'http://purl.bioontology.org/ontology/LNC/LP6817-3', 'http://purl.bioontology.org/ontology/LNC/LP30639-6', 'http://purl.bioontology.org/ontology/LNC/MTHU000077', 'http://purl.bioontology.org/ontology/SNOMEDCT/392521001']"
723,Youth Self-Report: Performance in academic subjects: Arithmetic or Mathematics,"['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.obolibrary.org/obo/NCIT_C60778', 'http://semanticscience.org/resource/SIO_000406', 'http://purl.bioontology.org/ontology/LNC/LP442606-2', 'http://purl.obolibrary.org/obo/GSSO_009387', 'http://purl.bioontology.org/ontology/LNC/106397-3', 'http://purl.bioontology.org/ontology/LNC/MTHU070780']"
724,Youth Self-Report: Performance in academic subjects: Science,"['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.obolibrary.org/obo/NCIT_C60778', 'http://semanticscience.org/resource/SIO_000406', 'http://purl.obolibrary.org/obo/GSSO_003848']"
725,Youth Self-Report: Performance in academic subjects: Other subjects,"['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.obolibrary.org/obo/NCIT_C60778', 'http://semanticscience.org/resource/SIO_000406']"
726,"Youth Self-Report: Performance in academic subjects: Other subjects, If the answer is E, specify de subject","['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.obolibrary.org/obo/NCIT_C60778', 'http://semanticscience.org/resource/SIO_000406', 'http://purl.bioontology.org/ontology/LNC/MTHU066376', 'http://purl.bioontology.org/ontology/LNC/LP427044-5']"
727,"Youth Self-Report: Performance in academic subjects: Other subjects, If the answer is F, specify de subject","['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.obolibrary.org/obo/NCIT_C60778', 'http://semanticscience.org/resource/SIO_000406', 'http://purl.bioontology.org/ontology/LNC/MTHU066376', 'http://purl.bioontology.org/ontology/LNC/LP427044-5']"
728,"Youth Self-Report: Performance in academic subjects: Other subjects, If the answer is G, specify de subject","['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.obolibrary.org/obo/NCIT_C60778', 'http://semanticscience.org/resource/SIO_000406', 'http://purl.bioontology.org/ontology/LNC/MTHU066376', 'http://purl.bioontology.org/ontology/LNC/LP427044-5']"
729,"Youth Self-Report: Performance in academic subjects: Other subjects, If the answer is E","['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.obolibrary.org/obo/NCIT_C60778', 'http://semanticscience.org/resource/SIO_000406']"
730,"Youth Self-Report: Performance in academic subjects: Other subjects, If the answer is F","['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.obolibrary.org/obo/NCIT_C60778', 'http://semanticscience.org/resource/SIO_000406']"
731,"Youth Self-Report: Performance in academic subjects: Other subjects, If the answer is G","['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.obolibrary.org/obo/NCIT_C60778', 'http://semanticscience.org/resource/SIO_000406']"
732,"Youth Self-Report: Do you have any illness, disability or handicap","['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/SNOMEDCT/39104002', 'http://purl.obolibrary.org/obo/GSSO_000487', 'http://purl.bioontology.org/ontology/LNC/LP418870-4', 'http://purl.bioontology.org/ontology/LNC/95377-8', 'http://purl.bioontology.org/ontology/SNOMEDCT/21134002', 'http://purl.bioontology.org/ontology/LNC/MTHU064635', 'http://purl.obolibrary.org/obo/NCIT_C21007', 'http://purl.bioontology.org/ontology/SNOMEDCT/29962006']"
733,"Youth Self-Report: Do you have any illness, disability or handicap, if the answer is yes, specify","['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/SNOMEDCT/39104002', 'http://purl.obolibrary.org/obo/GSSO_000487', 'http://purl.bioontology.org/ontology/LNC/LP418870-4', 'http://purl.bioontology.org/ontology/LNC/95377-8', 'http://purl.bioontology.org/ontology/SNOMEDCT/21134002', 'http://purl.bioontology.org/ontology/LNC/MTHU064635', 'http://purl.obolibrary.org/obo/NCIT_C21007', 'http://purl.bioontology.org/ontology/SNOMEDCT/29962006', 'http://purl.bioontology.org/ontology/LNC/LA33-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/373066001']"
734,Youth Self-Report: Please describe any concerns or problems you have about school,"['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/SNOMEDCT/257698009', 'http://purl.bioontology.org/ontology/LNC/LP125133-1', 'http://purl.bioontology.org/ontology/LNC/LA14086-5', 'http://purl.bioontology.org/ontology/LNC/MTHU040370']"
735,Youth Self-Report: Please describe any other concers you have,"['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026']"
736,Youth Self-Report: Please describe the best things about yourself:,"['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://www.orpha.net/ORDO/Orphanet_119029']"
737,Youth Self-Report: 1. I act too young for my age,"['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/LNC/LP186136-0', 'http://purl.bioontology.org/ontology/OMIM/602587', 'http://purl.bioontology.org/ontology/OMIM/107280', 'http://purl.bioontology.org/ontology/OMIM/605126', 'http://purl.bioontology.org/ontology/LNC/LA27172-8', 'http://purl.bioontology.org/ontology/SNOMEDCT/84422007', 'http://purl.bioontology.org/ontology/LNC/30525-0', 'http://purl.org/sig/ont/fma/fma0328408', 'http://purl.bioontology.org/ontology/SNOMEDCT/424144002', 'http://purl.bioontology.org/ontology/LNC/MTHU010047', 'http://purl.bioontology.org/ontology/LNC/LP28815-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/397669002']"
738,Youth Self-Report: 2. I drink alcohol without my parents’ approval (describe):,"['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/SNOMEDCT/230118003', 'http://purl.obolibrary.org/obo/GSSO_005073', 'http://purl.obolibrary.org/obo/CHEBI_23982', 'http://purl.obolibrary.org/obo/CHEBI_30879', 'http://purl.bioontology.org/ontology/LNC/LA28139-6']"
739,If the answer is 1 or 2: Describe,"['http://purl.bioontology.org/ontology/LNC/LA15694-5', 'http://purl.bioontology.org/ontology/LNC/LP263793-4']"
740,Youth Self-Report: 3. I argue a lot,"['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/LNC/LA14468-5']"
741,Youth Self-Report: 4. I fail to finish things I start,"['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/LNC/LA25389-0', 'http://purl.bioontology.org/ontology/SNOMEDCT/420604000', 'http://purl.bioontology.org/ontology/LNC/LP190656-1']"
742,Youth Self-Report: 5. There is very little that I enjoy,"['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/LNC/LA13947-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/255507004']"
743,Youth Self-Report: 6. I like animals,"['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/SNOMEDCT/387961004']"
744,Youth Self-Report: 7.  I brag,"['http://purl.obolibrary.org/obo/GSSO_001452', 'http://purl.bioontology.org/ontology/SNOMEDCT/22396007', 'http://purl.bioontology.org/ontology/LNC/LA15312-4', 'http://purl.bioontology.org/ontology/LNC/MTHU051529', 'http://purl.bioontology.org/ontology/LNC/LP183761-8', 'http://purl.bioontology.org/ontology/LNC/80563-0', 'http://purl.bioontology.org/ontology/LNC/MTHU002737', 'http://purl.bioontology.org/ontology/LNC/LP7554-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/229059009', 'http://semanticscience.org/resource/SIO_001026', 'http://purl.bioontology.org/ontology/OMIM/608277']"
